labels,text
"['enjoying', 'move', 'alot', 'culture', 'big']",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy. "
"['especially', 'diversity', 'expensive', 'foods', 'want']",Vegetarianism can be more expensive especially for people who want a diversity of foods to eat.
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. "
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy. "
"['healthy', 'unable', 'muscle', 'develop', 'enough']",Vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.
"['tastes', 'believe', 'decide', 'want', 'able', 'vegetables']",Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
"['diversity', 'cuisine', 'accessible']","In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients. "
"['harm', 'alrenatives', 'mostly', 'hard']","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)"
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. "
"['climates', 'arid', 'types', 'raised', 'countries', 'individual']","Animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism."
"['neglect', 'crueler']","Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['proteins', 'malnutrition', 'chances', 'anemia', 'lack', 'increases']",Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
"['healthy', 'unable', 'muscle', 'develop', 'enough']",Vegetarians are unable to get enough protein to live a healthy life and develop healthy muscle mass.
"['land', 'suitable', 'efficient', 'used', 'growth']","A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. "
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat. 
"['staple', 'side', 'estrogen']","Soy, a major staple of the vegetarian diet due to being protein-rich, has many bad side effects like increasing estrogen levels and being high in glyphosate. "
"['losing', 'workers', 'millions', 'jobs', 'lead', 'around']",Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['proteins', 'malnutrition', 'chances', 'anemia', 'lack', 'increases']",Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
"['nutritious', 'prepare', 'unfeasible', 'filling', 'know', 'although']","Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people. "
"['diversity', 'cuisine', 'accessible']","In food deserts, meat is more accessible than a diversity of vegetarian cuisine and ingredients. "
"['fertilizer', 'keeping', 'tool', 'maintain']","Animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism."
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['actions', 'inevitable', 'outcome', 'put', 'numbers', 'government']","The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism."
"['shut', 'serve', 'restaurants', 'majority', 'forced']",A majority of restaurants would shut down if they were forced to only serve vegetarian food.
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['enjoying', 'move', 'alot', 'culture', 'big']",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['land', 'suitable', 'efficient', 'used', 'growth']","A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. "
"['identity', 'aspects']","Food is an important part of cultural identity and adopting vegetarianism would be inconsistent with maintaining highly valued aspects of many cultures, identification with which forms a key element in many people's identity.  "
"['enjoying', 'move', 'alot', 'culture', 'big']",Eating meat is very enjoying to alot of people and a big part of their culture and life style. If we move to vegetarianism we will reduce human happiness.
"['nutritious', 'prepare', 'unfeasible', 'filling', 'know', 'although']","Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people. "
"['adequate', 'absorbed', 'amounts', 'supplements', 'found', 'require']","Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy"
"['rid', 'thousands', 'destroy', 'getting', 'hundreds', 'farms']","Getting rid of all animal farms would destroy hundreds of thousands of jobs around the world, making vegetarianism dangerous."
"['information', 'force', 'idea', 'vegan', 'give', 'forced']","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian "
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats. "
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign. "
"['land', 'suitable', 'efficient', 'used', 'growth']","A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land. "
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['painless', 'slaughterhouses', 'quick', 'problem', 'consciousness', 'provide']","There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism."
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning. 
"['protein', 'quality', 'higher']",Meat and meat-derived protein is higher quality than vegetarian protein substitutes.
"['identity', 'aspects']","Food is an important part of cultural identity and adopting vegetarianism would be inconsistent with maintaining highly valued aspects of many cultures, identification with which forms a key element in many people's identity."
"['kills', 'underground', 'tilling']","In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives"
"['intrinsic', 'intangible', 'moving', 'loss', 'national']","Meat-based dishes are an intrinsic part of ethnic, national and human culture, and moving on from that is a loss of intangible cultural value."
"['expressing', 'illegal', 'potential', 'swath', 'considered', 'forcing']",The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['connection', 'traditional', 'family', 'undermine', 'food']","We should not adopt vegetarianism because it would undermine the traditional food culture, and food is an important part of people's connection to their family and community."
"['ignored', 'imperative', 'biological', 'consume']",Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign."
"['shut', 'serve', 'restaurants', 'majority', 'forced']",A majority of restaurants would shut down if they were forced to only serve vegetarian food.
"['religious', 'holy', 'religions', 'certain', 'require', 'violation']","Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom."
"['nutritionally', 'easier', 'balanced', 'products', 'part', 'diet']",Eating a nutritionally balanced diet is easier if animal products are part of it
"['voices', 'prefer']","By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others."
"['inaccessible', 'understand', 'mechanisms', 'communities', 'dishes', 'cultures']","Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism."
"['fertilizer', 'keeping', 'tool', 'maintain']","Animal waste is an important tool for creating natural fertilizer and keeping land arable, which would be difficult to maintain under enforced vegetarianism."
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
"['inaccessible', 'understand', 'mechanisms', 'communities', 'dishes', 'cultures']","Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism."
"['harvest', 'devastated', 'evolved', 'local', 'fishing', 'forced']",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.
"['country', 'heavily', 'bring']","We should not adopt vegetarianism because it would devastate communities that rely on livestock to bring in capital - like the entire country of Argentina, which depends heavily on beef."
"['ignored', 'imperative', 'biological', 'consume']",Humans have a biological imperative to consume meat which should not be ignored through vegetarianism.
"['losing', 'workers', 'millions', 'jobs', 'lead', 'around']",Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.
"['thousands', 'provides', 'fish', 'hundreds', 'away', 'take']",The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood.
"['proteins', 'malnutrition', 'chances', 'anemia', 'lack', 'increases']",Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
"['born', 'whatever', 'choice', 'want', 'able']","Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat."
"['climates', 'arid', 'types', 'raised', 'countries', 'individual']","Animals can be raised in more climates than individual types of vegetables, making food more accessible for dry, arid countries that do not adopt vegetarianism."
"['voices', 'prefer']","By adopting vegetarianism as a society, we are necessarily silencing voices that would prefer eating meat. of course, we are allowing other voices to be heard, but hurt the fundamental right of choice for others."
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy."
"['readily', 'anemic', 'lack', 'accessible', 'sources', 'protein']",People will be anemic and lack protein if there aren't readily accessible sources
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['information', 'force', 'idea', 'vegan', 'give', 'forced']","Adopting vegan life can’t be forced on people,we need to give them the information and idea but not force vegetarian"
"['land', 'suitable', 'efficient', 'used', 'growth']","A lot of the land used for animal growth wouldn't be suitable for plants anyway, so vegetarianism is a less efficient use of land."
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
"['manufacture', 'whose', 'highly', 'processed', 'contributes', 'rely']",Many vegetarian diets are unhealthy and rely on highly processed food products whose manufacture contributes to climate change.
"['tastes', 'believe', 'decide', 'want', 'able', 'vegetables']",Many people believe meat tastes better than vegetables and they should be able to decide what they would want to eat and should not be forced to be vegetarian.
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy."
"['shut', 'serve', 'restaurants', 'majority', 'forced']",A majority of restaurants would shut down if they were forced to only serve vegetarian food.
"['kills', 'underground', 'tilling']","In agriculture more animals are killed (pest extermination, tilling land kills underground dwellers, etc) than in the meat industry. Therefore by eating more meat and less plants you actually save lives"
"['actions', 'inevitable', 'outcome', 'put', 'numbers', 'government']","The government should not take actions which put huge numbers of people out of work, which would be an inevitable outcome of enforced vegetarianism."
"['born', 'whatever', 'choice', 'want', 'able']","Humans were born omnivores, so people should have the choice to do whatever they want and be able to eat meat."
"['painless', 'slaughterhouses', 'quick', 'problem', 'consciousness', 'provide']","There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism."
"['expressing', 'illegal', 'potential', 'swath', 'considered', 'forcing']",The government is expressing power over people's bodies in an illegal way by removing a massive swath of potential food items from being considered by forcing vegetarianism on its citizens.
"['religious', 'holy', 'religions', 'certain', 'require', 'violation']","Many religions require the consumption of meat on certain holy days, making enforced vegetarianism a violation of religious freedom."
"['get', 'herbicides', 'doused', 'though', 'farmed', 'pesticides']","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants."
"['employing', 'industry', 'forego', 'prioritize', 'lose', 'meat']",The meat industry is employing millions of people who will lose their jobs if we forego meat at once. We should prioritize the meat industry human workers over animals.
"['nutritious', 'prepare', 'unfeasible', 'filling', 'know', 'although']","Although vegetables are cheaper, a lot of people don't know how to prepare filling and nutritious meals without meat, making vegetarianism unfeasible for many people."
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy."
"['happy', 'whatever']","Many people feel better on a meat-inclusive diet, and people should do whatever makes them happy and functional, so they should only adopt vegetarianism if they want to (not because of social coercion)."
"['adverse', 'quantities']","High quantities of soy, grain, starch, or any food common for vegetarians can have adverse health effects."
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['manufacture', 'whose', 'highly', 'processed', 'contributes', 'rely']",Many vegetarian diets are unhealthy and rely on highly processed food products whose manufacture contributes to climate change.
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy."
"['changing', 'flooding', 'patterns', 'degradation', 'agriculture']",We should not adopt vegetarianism because changing patterns of agriculture would lead to flooding and land degradation
"['population', 'unfit', 'sustains']","The meat industry sustains a huge population of animals that are unfit to survive in the wild. If a large portion of the population becomes vegeterian, these animals will be killed."
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['style', 'live', 'without', 'life', 'possiable']",Even if it is possiable to live a healthy life style without meat it is very difficult which means most people will live an unhealthy life style without meat.
"['appropriate', 'continue', 'consistent', 'evolved', 'omnivores', 'behave']","Human being have evolved to be omnivores who eat both plants and meat, so it is both healthy and appropriate that we continue to behave in a way that is consistent with our evolution."
"['harvest', 'devastated', 'evolved', 'local', 'fishing', 'forced']",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['economic', 'cost', 'replaced', 'activity']",Adopting vegetarianism will have a massive economic cost since you will lose all jobs and economic activity from the meat industry and it will not be replaced by crops.
"['identity', 'aspects']","Food is an important part of cultural identity and adopting vegetarianism would be inconsistent with maintaining highly valued aspects of many cultures, identification with which forms a key element in many people's identity."
"['losing', 'workers', 'millions', 'jobs', 'lead', 'around']",Adopting vegetarianism will lead to millions of workers losing their jobs in the livestock industry around the globe.
"['harm', 'alrenatives', 'mostly', 'hard']","vegetarianism will harm our body, there are important things that are mostly found in meat that are hard to find alrenatives for (and those are pricier, which will harm the poor)"
"['dies', 'crucial', 'main', 'source']","Meat is a main source of protein and iron, therefore meat is a crucial part of a healthy dies and vegetarianism is unhealthy"
"['sale', 'safety', 'regulation', 'protections', 'enforce', 'attempting']",Attempting to enforce vegetarianism would create a black market for meat that has less safety regulation on the sale of meat and no protections for workers.
"['uncomfortable', 'actively', 'cultural', 'social']","Meat is part of many people's cultural and social traditions, making vegetarianism actively uncomfortable and foreign."
"['many', 'equate']","Vegetarianism does not equate to having a healthy diet, as many people avoid eating meat but still eat many unhealthy things and have diets that are high in sugars, carbs, or fats."
"['lacks', 'trusted', 'critical', 'vitamins', 'supplements']","Vegetarianism is not healthy for human beings, as it lacks critical vitamins such as B12. People cannot be trusted to take such supplements instead of meat."
"['slaughtered', 'ship', 'worse']","Animals are easier to ship around the world, as they do not need to be slaughtered until they are received, leading to less spoilage, making vegetarianism worse for food preservation."
"['massively', 'negative', 'sector', 'shift', 'impact', 'large']","A widespread shift to vegetarianism would have a massively negative impact on meat production, which is a large sector of the global economy."
"['neglect', 'crueler']","Individuals would likely neglect their animals or release them into the wild if they could no longer sell them because vegetarianism, where they would die of starvation, be eaten, or face an even crueler fate."
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['adequate', 'absorbed', 'amounts', 'supplements', 'found', 'require']","Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy"
"['inaccessible', 'understand', 'mechanisms', 'communities', 'dishes', 'cultures']","Many cultures have meat based dishes which are important for their communities and the mechanisms by which they understand their history, which are inaccessible through vegetarianism."
"['immune', 'central', 'nervous', 'system', 'provides', 'saturated']",Meat provides healthy saturated fats that vegetarians don't get enough of and are important to immune and central nervous system functioning.
"['access', 'pleasure', 'hurt', 'poor', 'around', 'means']","Most poor people around the world don't have access to meat alternatives, which means vegetarianism can hurt their health and food pleasure"
"['painless', 'slaughterhouses', 'quick', 'problem', 'consciousness', 'provide']","There is no moral problem in eating meat. Animals have no consciousness like human beings, and slaughterhouses provide them with a quick and painless death. Therefore, we do not have to adopt vegetarianism."
"['abstain', 'predominantly', 'vitamins', 'come', 'nutrients']","There are nutrients and vitamins that come predominantly from meat products, and people who abstain from them are likely to be less healthy."
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['proteins', 'malnutrition', 'chances', 'anemia', 'lack', 'increases']",Becoming vegetarian is unhealthy. Not eating meat increases the chances of anemia and malnutrition because of the lack of proteins and iron.
"['country', 'heavily', 'bring']","We should not adopt vegetarianism because it would devastate communities that rely on livestock to bring in capital - like the entire country of Argentina, which depends heavily on beef."
"['impossible', 'ability', 'decide', 'fundamental', 'individuals', 'enforced']","Individuals should have the ability to decide what they consume which is impossible through enforced vegetarianism, as it is fundamental to the way they live their lives."
"['right', 'desires']","Any sort of legal requirement for vegetarianism would be unjust, as the right to consume what one desires should be a fundamental right so long as it doesn't violate another person's bodily autonomy."
"['refusing', 'anything', 'party', 'third', 'includes', 'ability']","Individuals should have the ability to do or consume anything which doesn't cause direct, considerable third party harms, which includes meat consumption and refusing vegetarianism."
"['rigorous', 'planning', 'impossible', 'working', 'considerable']","Vegetarian diets can only be healthy with rigorous planning and considerable spending, which is impossible for many working people around the world."
"['harvest', 'devastated', 'evolved', 'local', 'fishing', 'forced']",Cultures that evolved through fishing and local harvest would be devastated if they could not consume meat and were forced to be vegetarians.
"['stop', 'maybe', 'keep', 'little', 'maintain', 'cut']","You do not have to adopt vegetarianism to keep you healthy. You can maintain a balanced diet and maybe even cut a little on the red-meat, but you do have not stop eating meat completely."
"['lacks', 'trusted', 'critical', 'vitamins', 'supplements']","Vegetarianism is not healthy for human beings, as it lacks critical vitamins such as B12. People cannot be trusted to take such supplements instead of meat."
"['adequate', 'absorbed', 'amounts', 'supplements', 'found', 'require']","Humans require B12, which is only found in adequate amounts in meat, and supplements aren't absorbed by some individuals, making a vegetarian lifestyle unhealthy"
"['butcher', 'destroyed', 'companies', 'sell', 'ship']","Companies that ship or sell meat, such as butcher shops, would be destroyed if vegetarianism were enforced."
"['last', 'studies']","Meat is very healthy, for everyone, proven in many studies around the world over the last hundreds of years. vegetarianism takes away this opportunity from humans of getting healthier and stronger."
"['reduction', 'general', 'alleviate', 'required', 'order', 'harms']","In order to alleviate the harms of meat production, vegetarianism is not required by most people, only the general reduction of meat consumption."
"['protein', 'securing', 'difficulty']","Animals provide protein which humans would have difficulty securing otherwise. While other sources of protein exist, they tend to be more expensive and thus difficult to access for the poor."
"['areas', 'east', 'soil', 'africa', 'producing', 'efficient']","In some areas (e.g., East Africa and other poor soil areas), livestock is the most efficient means of producing food."
"['thousands', 'provides', 'fish', 'hundreds', 'away', 'take']",The meat and fish production industry provides a living to hundreds of thousands of people worldwide. Vegetarianism will take away they means of livelihood.
"['propensity', 'given', 'environmental', 'significant', 'waste', 'lead']","We should not adopt vegetarianism because given the propensity for waste in our society, it would not lead to significant environmental improvements."
"['happy', 'whatever']","Many people feel better on a meat-inclusive diet, and people should do whatever makes them happy and functional, so they should only adopt vegetarianism if they want to (not because of social coercion)."
"['get', 'herbicides', 'doused', 'though', 'farmed', 'pesticides']","Even though vegetarians avoid the hormones and antibiotics in meat, they still get very high doses of all the pesticides and herbicides that get doused over farmed plants."
"['appropriate', 'continue', 'consistent', 'evolved', 'omnivores', 'behave']","Human being have evolved to be omnivores who eat both plants and meat, so it is both healthy and appropriate that we continue to behave in a way that is consistent with our evolution."
